sin,cos,year,month,TF,ZW,STE
-0.9,-0.5,219,9,2.68075098088676,0.02655707219932338,0.552724249271176
-1.0,-0.0,219,10,1.8082244572808648,0.10132198089003085,0.6281537162259723
-0.9,0.5,219,11,0.5670300327955636,0.08689640952533259,0.5795305915186806
-0.5,0.9,219,12,0.5599320815026929,0.06183231788907553,0.7229567243879832
0.0,1.0,220,1,1.284700377493184,0.12137650184272278,0.950247148753874
0.5,0.9,220,2,1.5752763330749238,0.12475690272355199,1.0623156060525158
0.9,0.5,220,3,-0.7818645724168231,0.05410777643158772,0.736165243142224
1.0,0.0,220,4,-3.836651131885513,0.1041335964320296,0.4453732544263404
0.9,-0.5,220,5,-3.8660873781169376,0.017716384236424163,0.3580165463187442
0.5,-0.9,220,6,-4.539354233626958,-0.08797812563248697,0.263396249221236
0.0,-1.0,220,7,-4.691100304899247,-0.03752006874437651,0.4333987770074711
-0.5,-0.9,220,8,-4.628887518309464,0.03786950577948178,0.2383232852311076
-0.9,-0.5,220,9,-4.037092845429625,0.044575795989487105,0.1312401616565355
-1.0,-0.0,220,10,-5.019636713215325,0.04421031964454557,-0.1179909848473232
-0.9,0.5,220,11,-5.65578348412987,0.011531835774556727,-0.2235109131646771
-0.5,0.9,220,12,-3.868586603587381,-0.02162364498731124,-0.0836646926314157
0.0,1.0,221,1,-4.621470232700871,-0.1321233840433256,-0.6012129443881661
0.5,0.9,221,2,-7.129025302820963,-0.043968934894071554,-0.8018634731049828
0.9,0.5,221,3,-8.233522383006752,-0.019155491297054,-0.7800280008817021
1.0,0.0,221,4,-7.043644671718965,-0.023093260428336444,-0.6163912581810322
0.9,-0.5,221,5,-6.305967798333014,-0.106684441572009,-0.8616943075393017
0.5,-0.9,221,6,-5.439909029138672,-0.20915931050859052,-1.1769025887166
0.0,-1.0,221,7,-4.303980039352776,-0.23582154665562674,-1.371039645043679
-0.5,-0.9,221,8,-1.8819171435037625,-0.16657211679270162,-1.3952316020053332
-0.9,-0.5,221,9,-1.3752319588781163,-0.15204045988234086,-1.3376260574016776
-1.0,-0.0,221,10,-0.1878310538673552,-0.03247655803837736,-1.240583639772433
-0.9,0.5,221,11,1.5134271585100596,-0.1526045625507716,-1.2064995624908543
-0.5,0.9,221,12,3.5148129701375623,-0.17454968062945955,-1.192681917305671
0.0,1.0,222,1,4.751073947130803,-0.19036866183384624,-1.249492702722769
0.5,0.9,222,2,6.340499138037381,-0.02572301233173425,-1.065004590027994
0.9,0.5,222,3,9.85910055611505,-0.022654826146762928,-0.8833865266088112
1.0,0.0,222,4,11.853955663297755,-0.013438467340769025,-0.7476431360690725
0.9,-0.5,222,5,9.820129042808007,-0.035583473084630314,-0.7141494057484558
0.5,-0.9,222,6,8.344115757344744,-0.12059953476368744,-0.6550104203101934
0.0,-1.0,222,7,7.302622392482411,-0.15522568382056426,-0.6099709896841086
-0.5,-0.9,222,8,5.500101912562229,-0.15099311489750894,-0.588063491892302
-0.9,-0.5,222,9,3.2851402250170434,-0.1346162220222735,-0.9324689284290664
-1.0,-0.0,222,10,2.996654362525615,0.05142040762591557,-0.7901548518624907
-0.9,0.5,222,11,4.09969809165059,-0.10258452753297878,-0.7051470035322033
